user_id,campaign_id,timestamp,clicked,converted,region,device
705,3,2025-06-25 17:42:54,0,0,Asia,Desktop
545,5,2025-06-27 07:29:53,0,0,Asia,Mobile
357,3,2025-06-26 10:25:42,0,0,Europe,Desktop
805,2,2025-07-01 12:13:23,0,0,Europe,Tablet
351,1,2025-07-01 06:28:02,0,0,South America,Tablet
583,2,2025-07-02 08:06:32,0,0,South America,Mobile
428,3,2025-06-25 23:21:20,0,0,Africa,Mobile
719,2,2025-06-28 23:54:37,0,0,South America,Desktop
164,3,2025-06-29 23:48:14,0,0,Africa,Mobile
203,1,2025-07-01 21:25:15,0,0,Europe,Tablet
633,1,2025-06-27 16:09:35,0,0,South America,Desktop
750,1,2025-06-30 06:54:02,0,0,Europe,Mobile
394,1,2025-06-30 20:43:25,0,0,North America,Desktop
664,2,2025-06-30 21:34:06,0,0,Europe,Mobile
983,2,2025-06-25 13:50:46,0,0,South America,Mobile
833,3,2025-06-28 00:53:35,0,0,Asia,Desktop
560,4,2025-07-02 07:30:05,0,0,North America,Tablet
272,5,2025-06-28 11:03:03,1,0,North America,Mobile
516,5,2025-06-29 18:55:58,0,0,South America,Mobile
527,4,2025-06-26 23:25:37,0,0,South America,Mobile
231,3,2025-06-30 06:38:40,0,0,South America,Desktop
192,4,2025-06-27 14:36:18,1,0,Europe,Mobile
293,5,2025-06-27 07:52:16,0,0,South America,Tablet
478,2,2025-06-30 01:26:47,0,0,South America,Desktop
612,2,2025-06-30 04:59:39,0,0,North America,Mobile
169,1,2025-06-26 04:16:53,0,0,South America,Mobile
438,5,2025-06-27 01:41:43,0,0,North America,Mobile
38,2,2025-07-01 16:25:28,0,0,South America,Tablet
845,2,2025-06-29 23:40:44,0,0,Africa,Mobile
332,2,2025-06-30 14:25:34,0,0,Europe,Mobile
440,2,2025-07-01 18:07:59,0,0,Europe,Mobile
562,5,2025-06-28 21:21:24,0,0,Europe,Mobile
661,4,2025-06-26 23:54:15,0,0,Europe,Mobile
757,3,2025-07-01 07:09:21,0,0,North America,Tablet
270,1,2025-07-02 09:42:23,0,0,Asia,Mobile
820,4,2025-06-29 15:17:41,0,0,North America,Tablet
676,3,2025-06-30 06:14:55,1,0,North America,Tablet
484,1,2025-06-29 12:08:03,0,0,Europe,Desktop
214,3,2025-07-01 21:07:59,0,0,Africa,Mobile
243,5,2025-06-28 08:16:37,0,0,North America,Desktop
910,5,2025-07-02 02:47:09,0,0,Asia,Tablet
611,2,2025-06-29 08:10:23,0,0,North America,Mobile
272,5,2025-06-25 11:46:50,0,0,North America,Mobile
187,5,2025-07-01 20:18:02,0,0,South America,Tablet
462,3,2025-06-27 07:31:04,0,0,North America,Desktop
151,2,2025-06-27 19:04:59,0,0,Africa,Desktop
134,4,2025-07-01 23:44:22,0,0,Europe,Tablet
737,3,2025-06-30 06:32:53,0,0,Africa,Desktop
421,3,2025-06-26 14:35:00,0,0,Africa,Desktop
890,2,2025-06-30 23:41:55,0,0,South America,Desktop
231,4,2025-06-26 05:56:34,0,0,South America,Desktop
836,3,2025-07-02 07:53:21,0,0,Africa,Tablet
669,5,2025-06-26 08:07:19,0,0,Europe,Desktop
60,1,2025-06-27 07:53:39,0,0,North America,Mobile
112,1,2025-07-02 01:09:55,0,0,Europe,Mobile
913,3,2025-07-01 01:23:55,0,0,Africa,Tablet
567,4,2025-06-29 14:12:14,0,0,Europe,Mobile
985,2,2025-06-28 14:46:38,0,0,Europe,Desktop
45,4,2025-06-26 21:23:38,0,0,South America,Tablet
529,4,2025-06-29 19:11:52,0,0,South America,Tablet
286,3,2025-06-26 16:11:15,0,0,Africa,Mobile
739,5,2025-06-28 12:48:45,0,0,Europe,Desktop
60,1,2025-07-01 13:16:13,0,0,North America,Mobile
427,1,2025-07-02 01:31:18,0,0,Africa,Tablet
452,1,2025-07-01 12:04:39,0,0,Africa,Mobile
370,4,2025-06-29 01:59:49,0,0,North America,Tablet
558,4,2025-06-28 13:24:39,0,0,South America,Desktop
680,1,2025-06-30 05:22:38,1,0,Asia,Tablet
217,5,2025-06-26 14:20:33,0,0,North America,Mobile
584,4,2025-06-26 13:16:38,0,0,Africa,Tablet
139,3,2025-07-01 22:32:19,0,0,Asia,Mobile
417,2,2025-06-25 11:36:23,1,0,South America,Tablet
121,4,2025-06-28 14:56:04,0,0,Asia,Tablet
907,4,2025-06-27 17:33:06,0,0,Europe,Desktop
199,1,2025-07-01 16:56:42,1,1,South America,Tablet
509,1,2025-06-25 12:05:56,0,0,Asia,Desktop
427,5,2025-06-29 12:26:08,0,0,Africa,Tablet
521,4,2025-06-29 12:58:40,0,0,North America,Mobile
545,5,2025-07-01 13:43:03,1,0,Asia,Mobile
8,2,2025-07-01 17:51:06,0,0,South America,Tablet
781,2,2025-07-02 07:47:50,0,0,North America,Desktop
995,1,2025-07-01 09:57:30,1,0,Asia,Tablet
94,1,2025-06-29 08:53:39,1,0,South America,Tablet
358,3,2025-07-01 07:29:31,1,0,Europe,Desktop
470,4,2025-06-28 10:40:34,0,0,Africa,Tablet
997,3,2025-06-26 04:59:44,0,0,Africa,Mobile
501,5,2025-06-26 12:52:19,0,0,Europe,Mobile
21,1,2025-06-30 19:20:24,0,0,North America,Desktop
685,3,2025-07-02 08:13:44,0,0,Europe,Tablet
656,1,2025-06-28 10:32:05,0,0,South America,Desktop
309,5,2025-06-28 17:59:32,0,0,Europe,Desktop
487,2,2025-06-27 21:13:48,0,0,South America,Mobile
916,3,2025-06-28 11:58:02,0,0,Europe,Tablet
848,3,2025-06-30 15:06:12,0,0,Africa,Mobile
576,3,2025-06-30 15:55:06,1,0,Europe,Desktop
175,5,2025-06-27 22:35:19,0,0,Africa,Tablet
740,1,2025-07-02 07:33:49,0,0,Europe,Mobile
932,2,2025-06-28 00:37:06,0,0,Asia,Desktop
685,5,2025-07-02 06:28:55,0,0,Europe,Tablet
949,1,2025-06-30 15:44:18,0,0,Africa,Mobile
815,3,2025-07-02 02:14:08,0,0,Africa,Desktop
743,5,2025-06-28 09:05:55,0,0,Europe,Mobile
891,5,2025-06-27 06:24:32,0,0,Europe,Mobile
440,5,2025-06-28 09:16:20,0,0,Europe,Mobile
63,1,2025-06-27 11:28:51,1,0,Africa,Mobile
33,1,2025-06-27 07:36:24,0,0,Africa,Mobile
128,5,2025-06-28 01:38:55,0,0,Asia,Tablet
94,3,2025-06-30 17:43:11,1,0,South America,Tablet
342,3,2025-07-02 09:09:25,0,0,South America,Desktop
719,4,2025-06-29 20:10:05,0,0,South America,Desktop
209,4,2025-07-02 02:20:31,0,0,South America,Desktop
470,3,2025-06-26 01:22:14,1,0,Africa,Tablet
113,4,2025-06-26 01:44:19,0,0,Asia,Desktop
455,5,2025-07-01 07:25:24,0,0,North America,Mobile
141,2,2025-06-30 01:05:47,0,0,North America,Tablet
219,4,2025-06-28 15:25:13,0,0,Europe,Desktop
870,4,2025-07-01 17:26:37,0,0,Asia,Mobile
440,2,2025-07-02 03:55:56,0,0,Europe,Mobile
736,2,2025-06-26 17:08:40,0,0,Europe,Tablet
477,4,2025-06-28 02:34:26,0,0,Asia,Desktop
437,5,2025-06-28 10:24:00,0,0,Europe,Desktop
766,5,2025-06-28 01:48:07,0,0,North America,Tablet
488,5,2025-06-27 03:51:48,0,0,Asia,Tablet
985,1,2025-06-28 05:41:05,1,0,Europe,Desktop
58,2,2025-06-30 18:35:42,0,0,Africa,Desktop
426,3,2025-06-26 18:13:44,0,0,Africa,Desktop
859,1,2025-06-29 03:43:55,0,0,Europe,Desktop
522,1,2025-06-27 05:58:26,0,0,Europe,Tablet
157,5,2025-06-30 19:49:05,0,0,Asia,Tablet
805,5,2025-06-27 22:57:33,0,0,Europe,Tablet
748,3,2025-06-26 14:49:15,0,0,Europe,Desktop
751,4,2025-06-27 14:02:12,0,0,North America,Mobile
249,2,2025-06-29 18:23:10,0,0,North America,Tablet
449,2,2025-06-27 22:51:10,0,0,Asia,Tablet
31,5,2025-06-28 20:44:57,0,0,Asia,Tablet
602,4,2025-06-26 14:02:27,0,0,Asia,Desktop
241,4,2025-06-29 22:22:54,1,0,Africa,Mobile
736,3,2025-06-29 18:58:09,0,0,Europe,Tablet
680,1,2025-06-30 18:06:21,0,0,Asia,Tablet
410,5,2025-06-30 03:38:41,0,0,South America,Mobile
136,4,2025-06-27 02:41:18,1,0,Africa,Tablet
128,3,2025-06-30 23:25:01,1,0,Asia,Tablet
